"Step","Hidrogen Envelope on the train - Energy","Hidrogen Envelope on the train - Energy__MIN","Hidrogen Envelope on the train - Energy__MAX"
"0","-0.40906932950019836","-0.40906932950019836","-0.40906932950019836"
"1","-0.4545963704586029","-0.4545963704586029","-0.4545963704586029"
"2","-0.4616396427154541","-0.4616396427154541","-0.4616396427154541"
"3","-0.475920170545578","-0.475920170545578","-0.475920170545578"
"4","-0.483966588973999","-0.483966588973999","-0.483966588973999"
"5","-0.45225590467453003","-0.45225590467453003","-0.45225590467453003"
"6","-0.410861074924469","-0.410861074924469","-0.410861074924469"
"7","-0.49422118067741394","-0.49422118067741394","-0.49422118067741394"
"8","-0.4796016216278076","-0.4796016216278076","-0.4796016216278076"
"9","-0.5026538372039795","-0.5026538372039795","-0.5026538372039795"
"10","-0.4830905795097351","-0.4830905795097351","-0.4830905795097351"
"11","-0.4860307574272156","-0.4860307574272156","-0.4860307574272156"
"12","-0.5048860311508179","-0.5048860311508179","-0.5048860311508179"
"13","-0.45104214549064636","-0.45104214549064636","-0.45104214549064636"
"14","-0.48659199476242065","-0.48659199476242065","-0.48659199476242065"
"15","-0.4968794584274292","-0.4968794584274292","-0.4968794584274292"
"16","-0.49276578426361084","-0.49276578426361084","-0.49276578426361084"
"17","-0.4753149449825287","-0.4753149449825287","-0.4753149449825287"
"18","-0.5508129000663757","-0.5508129000663757","-0.5508129000663757"
"19","-0.5040585994720459","-0.5040585994720459","-0.5040585994720459"
"20","-0.5051181316375732","-0.5051181316375732","-0.5051181316375732"
"21","-0.5041270852088928","-0.5041270852088928","-0.5041270852088928"
"22","-0.504429280757904","-0.504429280757904","-0.504429280757904"
"23","-0.4983159303665161","-0.4983159303665161","-0.4983159303665161"
"24","-0.4835684299468994","-0.4835684299468994","-0.4835684299468994"
"25","-0.5000180006027222","-0.5000180006027222","-0.5000180006027222"
"26","-0.5115344524383545","-0.5115344524383545","-0.5115344524383545"
"27","-0.5170203447341919","-0.5170203447341919","-0.5170203447341919"
"28","-0.4772050380706787","-0.4772050380706787","-0.4772050380706787"
"29","-0.49939703941345215","-0.49939703941345215","-0.49939703941345215"
"30","-0.4976484179496765","-0.4976484179496765","-0.4976484179496765"
"31","-0.49202367663383484","-0.49202367663383484","-0.49202367663383484"
"32","-0.4824399948120117","-0.4824399948120117","-0.4824399948120117"
"33","-0.49403929710388184","-0.49403929710388184","-0.49403929710388184"
"34","-0.4955863952636719","-0.4955863952636719","-0.4955863952636719"
"35","-0.5145413875579834","-0.5145413875579834","-0.5145413875579834"
"36","-0.5010291934013367","-0.5010291934013367","-0.5010291934013367"
"37","-0.5099841952323914","-0.5099841952323914","-0.5099841952323914"
"38","-0.508285403251648","-0.508285403251648","-0.508285403251648"
"39","-0.4940158426761627","-0.4940158426761627","-0.4940158426761627"
"40","-0.5078988671302795","-0.5078988671302795","-0.5078988671302795"
"41","-0.4922811985015869","-0.4922811985015869","-0.4922811985015869"
"42","-0.499715119600296","-0.499715119600296","-0.499715119600296"
"43","-0.5083124041557312","-0.5083124041557312","-0.5083124041557312"
"44","-0.4975734055042267","-0.4975734055042267","-0.4975734055042267"
"45","-0.4938649833202362","-0.4938649833202362","-0.4938649833202362"
"46","-0.5016763806343079","-0.5016763806343079","-0.5016763806343079"
"47","-0.49412426352500916","-0.49412426352500916","-0.49412426352500916"
"48","-0.5047243237495422","-0.5047243237495422","-0.5047243237495422"
"49","-0.49336862564086914","-0.49336862564086914","-0.49336862564086914"
"50","-0.5009276270866394","-0.5009276270866394","-0.5009276270866394"
"51","-0.49963241815567017","-0.49963241815567017","-0.49963241815567017"
"52","-0.49665766954421997","-0.49665766954421997","-0.49665766954421997"
"53","-0.506802499294281","-0.506802499294281","-0.506802499294281"
"54","-0.5070781111717224","-0.5070781111717224","-0.5070781111717224"
"55","-0.5032351016998291","-0.5032351016998291","-0.5032351016998291"
"56","-0.502566397190094","-0.502566397190094","-0.502566397190094"
"57","-0.49680274724960327","-0.49680274724960327","-0.49680274724960327"
"58","-0.49993178248405457","-0.49993178248405457","-0.49993178248405457"
"59","-0.5004962682723999","-0.5004962682723999","-0.5004962682723999"
"60","-0.49409231543540955","-0.49409231543540955","-0.49409231543540955"
"61","-0.49988842010498047","-0.49988842010498047","-0.49988842010498047"
"62","-0.4982675313949585","-0.4982675313949585","-0.4982675313949585"
"63","-0.5018853545188904","-0.5018853545188904","-0.5018853545188904"
"64","-0.5018483996391296","-0.5018483996391296","-0.5018483996391296"
"65","-0.49993249773979187","-0.49993249773979187","-0.49993249773979187"
"66","-0.5001749396324158","-0.5001749396324158","-0.5001749396324158"
"67","-0.49775010347366333","-0.49775010347366333","-0.49775010347366333"
"68","-0.4997570514678955","-0.4997570514678955","-0.4997570514678955"
"69","-0.5013625621795654","-0.5013625621795654","-0.5013625621795654"
"70","-0.495708703994751","-0.495708703994751","-0.495708703994751"
"71","-0.501831591129303","-0.501831591129303","-0.501831591129303"
"72","-0.5012753009796143","-0.5012753009796143","-0.5012753009796143"
"73","-0.49863946437835693","-0.49863946437835693","-0.49863946437835693"
"74","-0.49850454926490784","-0.49850454926490784","-0.49850454926490784"
"75","-0.4982680380344391","-0.4982680380344391","-0.4982680380344391"
"76","-0.49492377042770386","-0.49492377042770386","-0.49492377042770386"
"77","-0.5034437775611877","-0.5034437775611877","-0.5034437775611877"
"78","-0.4995874762535095","-0.4995874762535095","-0.4995874762535095"
"79","-0.49838951230049133","-0.49838951230049133","-0.49838951230049133"
"80","-0.5022571682929993","-0.5022571682929993","-0.5022571682929993"
"81","-0.5010851621627808","-0.5010851621627808","-0.5010851621627808"
"82","-0.4999070167541504","-0.4999070167541504","-0.4999070167541504"
"83","-0.5003418922424316","-0.5003418922424316","-0.5003418922424316"
"84","-0.4996621310710907","-0.4996621310710907","-0.4996621310710907"
"85","-0.49907422065734863","-0.49907422065734863","-0.49907422065734863"
"86","-0.49968671798706055","-0.49968671798706055","-0.49968671798706055"
"87","-0.49970996379852295","-0.49970996379852295","-0.49970996379852295"
"88","-0.5014370679855347","-0.5014370679855347","-0.5014370679855347"
"89","-0.5005698800086975","-0.5005698800086975","-0.5005698800086975"
"90","-0.5008161664009094","-0.5008161664009094","-0.5008161664009094"
"91","-0.5009341835975647","-0.5009341835975647","-0.5009341835975647"
"92","-0.49957773089408875","-0.49957773089408875","-0.49957773089408875"
"93","-0.5002233982086182","-0.5002233982086182","-0.5002233982086182"
"94","-0.5002631545066833","-0.5002631545066833","-0.5002631545066833"
"95","-0.499230295419693","-0.499230295419693","-0.499230295419693"
"96","-0.49846115708351135","-0.49846115708351135","-0.49846115708351135"
"97","-0.499208003282547","-0.499208003282547","-0.499208003282547"
"98","-0.49887579679489136","-0.49887579679489136","-0.49887579679489136"
"99","-0.49979376792907715","-0.49979376792907715","-0.49979376792907715"