"Step","BORO_FAST - Energy","BORO_FAST - Energy__MIN","BORO_FAST - Energy__MAX"
"0","-5.611110210418701","-5.611110210418701","-5.611110210418701"
"1","-9.747182846069336","-9.747182846069336","-9.747182846069336"
"2","-10.98074722290039","-10.98074722290039","-10.98074722290039"
"3","-12.223159790039062","-12.223159790039062","-12.223159790039062"
"4","-11.369630813598633","-11.369630813598633","-11.369630813598633"
"5","-13.682011604309082","-13.682011604309082","-13.682011604309082"
"6","-11.493372917175293","-11.493372917175293","-11.493372917175293"
"7","-14.723089218139648","-14.723089218139648","-14.723089218139648"
"8","-14.049127578735352","-14.049127578735352","-14.049127578735352"
"9","-13.911442756652832","-13.911442756652832","-13.911442756652832"
"10","-13.83755874633789","-13.83755874633789","-13.83755874633789"
"11","-13.328057289123535","-13.328057289123535","-13.328057289123535"
"12","-14.521110534667969","-14.521110534667969","-14.521110534667969"
"13","-13.30965805053711","-13.30965805053711","-13.30965805053711"
"14","-12.765857696533203","-12.765857696533203","-12.765857696533203"
"15","-13.233558654785156","-13.233558654785156","-13.233558654785156"
"16","-12.915257453918457","-12.915257453918457","-12.915257453918457"
"17","-13.706263542175293","-13.706263542175293","-13.706263542175293"
"18","-12.971092224121094","-12.971092224121094","-12.971092224121094"
"19","-13.45194149017334","-13.45194149017334","-13.45194149017334"
"20","-13.398359298706055","-13.398359298706055","-13.398359298706055"
"21","-13.703737258911133","-13.703737258911133","-13.703737258911133"
"22","-13.194211959838867","-13.194211959838867","-13.194211959838867"
"23","-14.377357482910156","-14.377357482910156","-14.377357482910156"
"24","-18.723995208740234","-18.723995208740234","-18.723995208740234"
"25","-14.134749412536621","-14.134749412536621","-14.134749412536621"
"26","-14.22357177734375","-14.22357177734375","-14.22357177734375"
"27","-14.003539085388184","-14.003539085388184","-14.003539085388184"
"28","-13.936590194702148","-13.936590194702148","-13.936590194702148"
"29","-14.143662452697754","-14.143662452697754","-14.143662452697754"
"30","-13.836745262145996","-13.836745262145996","-13.836745262145996"
"31","-15.145631790161133","-15.145631790161133","-15.145631790161133"
"32","-14.248479843139648","-14.248479843139648","-14.248479843139648"
"33","-13.868834495544434","-13.868834495544434","-13.868834495544434"
"34","-13.33705997467041","-13.33705997467041","-13.33705997467041"
"35","-13.993937492370605","-13.993937492370605","-13.993937492370605"
"36","-14.117070198059082","-14.117070198059082","-14.117070198059082"
"37","-13.942676544189453","-13.942676544189453","-13.942676544189453"
"38","-13.695394515991211","-13.695394515991211","-13.695394515991211"
"39","-13.803994178771973","-13.803994178771973","-13.803994178771973"
"40","-14.460905075073242","-14.460905075073242","-14.460905075073242"
"41","-14.399261474609375","-14.399261474609375","-14.399261474609375"
"42","-15.374396324157715","-15.374396324157715","-15.374396324157715"
"43","-13.447938919067383","-13.447938919067383","-13.447938919067383"
"44","-13.880646705627441","-13.880646705627441","-13.880646705627441"
"45","-13.934502601623535","-13.934502601623535","-13.934502601623535"
"46","-23.561494827270508","-23.561494827270508","-23.561494827270508"
"47","-14.380653381347656","-14.380653381347656","-14.380653381347656"
"48","-13.960013389587402","-13.960013389587402","-13.960013389587402"
"49","-14.025521278381348","-14.025521278381348","-14.025521278381348"
"50","-14.154593467712402","-14.154593467712402","-14.154593467712402"
"51","-15.200706481933594","-15.200706481933594","-15.200706481933594"
"52","-13.927661895751953","-13.927661895751953","-13.927661895751953"
"53","-14.965234756469727","-14.965234756469727","-14.965234756469727"
"54","-13.988916397094727","-13.988916397094727","-13.988916397094727"
"55","-13.839842796325684","-13.839842796325684","-13.839842796325684"
"56","-13.992562294006348","-13.992562294006348","-13.992562294006348"
"57","-14.633334159851074","-14.633334159851074","-14.633334159851074"
"58","-14.398798942565918","-14.398798942565918","-14.398798942565918"
"59","-14.444528579711914","-14.444528579711914","-14.444528579711914"
"60","-14.121380805969238","-14.121380805969238","-14.121380805969238"
"61","-15.471856117248535","-15.471856117248535","-15.471856117248535"
"62","-14.314687728881836","-14.314687728881836","-14.314687728881836"
"63","-14.205123901367188","-14.205123901367188","-14.205123901367188"
"64","-14.045886039733887","-14.045886039733887","-14.045886039733887"
"65","-14.83771800994873","-14.83771800994873","-14.83771800994873"
"66","-13.707816123962402","-13.707816123962402","-13.707816123962402"
"67","-14.169525146484375","-14.169525146484375","-14.169525146484375"
"68","-13.77167797088623","-13.77167797088623","-13.77167797088623"
"69","-14.201033592224121","-14.201033592224121","-14.201033592224121"
"70","-13.857008934020996","-13.857008934020996","-13.857008934020996"
"71","-13.901039123535156","-13.901039123535156","-13.901039123535156"
"72","-14.318449020385742","-14.318449020385742","-14.318449020385742"
"73","-17.273544311523438","-17.273544311523438","-17.273544311523438"
"74","-14.200945854187012","-14.200945854187012","-14.200945854187012"
"75","-16.41138458251953","-16.41138458251953","-16.41138458251953"
"76","-13.977688789367676","-13.977688789367676","-13.977688789367676"
"77","-14.000049591064453","-14.000049591064453","-14.000049591064453"
"78","-13.387746810913086","-13.387746810913086","-13.387746810913086"
"79","-14.754624366760254","-14.754624366760254","-14.754624366760254"
"80","-17.31745147705078","-17.31745147705078","-17.31745147705078"
"81","-13.879716873168945","-13.879716873168945","-13.879716873168945"
"82","-14.210236549377441","-14.210236549377441","-14.210236549377441"
"83","-14.374411582946777","-14.374411582946777","-14.374411582946777"
"84","-14.345207214355469","-14.345207214355469","-14.345207214355469"
"85","-14.108662605285645","-14.108662605285645","-14.108662605285645"
"86","-14.112630844116211","-14.112630844116211","-14.112630844116211"
"87","-14.35642147064209","-14.35642147064209","-14.35642147064209"
"88","-14.13715648651123","-14.13715648651123","-14.13715648651123"
"89","-14.815675735473633","-14.815675735473633","-14.815675735473633"
"90","-14.172192573547363","-14.172192573547363","-14.172192573547363"
"91","-14.200394630432129","-14.200394630432129","-14.200394630432129"
"92","-14.233550071716309","-14.233550071716309","-14.233550071716309"
"93","-14.385453224182129","-14.385453224182129","-14.385453224182129"
"94","-14.582650184631348","-14.582650184631348","-14.582650184631348"
"95","-14.226551055908203","-14.226551055908203","-14.226551055908203"
"96","-13.926011085510254","-13.926011085510254","-13.926011085510254"
"97","-14.429159164428711","-14.429159164428711","-14.429159164428711"
"98","-14.489391326904297","-14.489391326904297","-14.489391326904297"
"99","-14.154013633728027","-14.154013633728027","-14.154013633728027"
"100","-14.299497604370117","-14.299497604370117","-14.299497604370117"
"101","-14.16836929321289","-14.16836929321289","-14.16836929321289"
"102","-13.978010177612305","-13.978010177612305","-13.978010177612305"
"103","-14.091103553771973","-14.091103553771973","-14.091103553771973"
"104","-14.534339904785156","-14.534339904785156","-14.534339904785156"
"105","-14.365303039550781","-14.365303039550781","-14.365303039550781"
"106","-14.970191955566406","-14.970191955566406","-14.970191955566406"
"107","-14.594541549682617","-14.594541549682617","-14.594541549682617"
"108","-14.445137023925781","-14.445137023925781","-14.445137023925781"
"109","-14.076924324035645","-14.076924324035645","-14.076924324035645"
"110","-14.73101806640625","-14.73101806640625","-14.73101806640625"
"111","-14.325089454650879","-14.325089454650879","-14.325089454650879"
"112","-14.976787567138672","-14.976787567138672","-14.976787567138672"
"113","-14.187835693359375","-14.187835693359375","-14.187835693359375"
"114","-14.090721130371094","-14.090721130371094","-14.090721130371094"
"115","-14.20914077758789","-14.20914077758789","-14.20914077758789"
"116","-17.308279037475586","-17.308279037475586","-17.308279037475586"
"117","-17.257177352905273","-17.257177352905273","-17.257177352905273"
"118","-14.099272727966309","-14.099272727966309","-14.099272727966309"
"119","-14.243278503417969","-14.243278503417969","-14.243278503417969"
"120","-13.980387687683105","-13.980387687683105","-13.980387687683105"
"121","-14.137931823730469","-14.137931823730469","-14.137931823730469"
"122","-14.258039474487305","-14.258039474487305","-14.258039474487305"
"123","-14.372957229614258","-14.372957229614258","-14.372957229614258"
"124","-14.257747650146484","-14.257747650146484","-14.257747650146484"
"125","-13.880545616149902","-13.880545616149902","-13.880545616149902"
"126","-14.125591278076172","-14.125591278076172","-14.125591278076172"
"127","-14.551839828491211","-14.551839828491211","-14.551839828491211"
"128","-14.113663673400879","-14.113663673400879","-14.113663673400879"
"129","-14.133406639099121","-14.133406639099121","-14.133406639099121"
"130","-14.479652404785156","-14.479652404785156","-14.479652404785156"
"131","-14.136561393737793","-14.136561393737793","-14.136561393737793"
"132","-16.436574935913086","-16.436574935913086","-16.436574935913086"
"133","-15.518452644348145","-15.518452644348145","-15.518452644348145"
"134","-14.006386756896973","-14.006386756896973","-14.006386756896973"
"135","-14.653353691101074","-14.653353691101074","-14.653353691101074"
"136","-14.29948616027832","-14.29948616027832","-14.29948616027832"
"137","-14.302547454833984","-14.302547454833984","-14.302547454833984"
"138","-14.384772300720215","-14.384772300720215","-14.384772300720215"
"139","-14.561080932617188","-14.561080932617188","-14.561080932617188"
"140","-14.516722679138184","-14.516722679138184","-14.516722679138184"
"141","-14.38223648071289","-14.38223648071289","-14.38223648071289"
"142","-14.851567268371582","-14.851567268371582","-14.851567268371582"
"143","-14.519033432006836","-14.519033432006836","-14.519033432006836"
"144","-14.176621437072754","-14.176621437072754","-14.176621437072754"
"145","-14.08781623840332","-14.08781623840332","-14.08781623840332"
"146","-14.123281478881836","-14.123281478881836","-14.123281478881836"
"147","-14.133480072021484","-14.133480072021484","-14.133480072021484"
"148","-14.84953784942627","-14.84953784942627","-14.84953784942627"
"149","-17.519479751586914","-17.519479751586914","-17.519479751586914"
"150","-19.697528839111328","-19.697528839111328","-19.697528839111328"
"151","-14.439157485961914","-14.439157485961914","-14.439157485961914"
"152","-14.278386116027832","-14.278386116027832","-14.278386116027832"
"153","-14.854085922241211","-14.854085922241211","-14.854085922241211"
"154","-14.603727340698242","-14.603727340698242","-14.603727340698242"
"155","-13.861161231994629","-13.861161231994629","-13.861161231994629"
"156","-14.2732572555542","-14.2732572555542","-14.2732572555542"
"157","-15.394427299499512","-15.394427299499512","-15.394427299499512"
"158","-15.053977966308594","-15.053977966308594","-15.053977966308594"
"159","-13.975301742553711","-13.975301742553711","-13.975301742553711"
"160","-14.23414134979248","-14.23414134979248","-14.23414134979248"
"161","-14.549592018127441","-14.549592018127441","-14.549592018127441"
"162","-14.422106742858887","-14.422106742858887","-14.422106742858887"
"163","-14.627540588378906","-14.627540588378906","-14.627540588378906"
"164","-14.263522148132324","-14.263522148132324","-14.263522148132324"
"165","-14.34142780303955","-14.34142780303955","-14.34142780303955"
"166","-14.295771598815918","-14.295771598815918","-14.295771598815918"
"167","-15.078435897827148","-15.078435897827148","-15.078435897827148"
"168","-14.158900260925293","-14.158900260925293","-14.158900260925293"
"169","-14.16650390625","-14.16650390625","-14.16650390625"
"170","-14.250720977783203","-14.250720977783203","-14.250720977783203"
"171","-14.513627052307129","-14.513627052307129","-14.513627052307129"
"172","-14.306253433227539","-14.306253433227539","-14.306253433227539"
"173","-14.4767484664917","-14.4767484664917","-14.4767484664917"
"174","-14.058952331542969","-14.058952331542969","-14.058952331542969"
"175","-14.294759750366211","-14.294759750366211","-14.294759750366211"
"176","-13.862115859985352","-13.862115859985352","-13.862115859985352"
"177","-14.480502128601074","-14.480502128601074","-14.480502128601074"
"178","-14.352752685546875","-14.352752685546875","-14.352752685546875"
"179","-14.313623428344727","-14.313623428344727","-14.313623428344727"
"180","-14.88370132446289","-14.88370132446289","-14.88370132446289"
"181","-14.49824047088623","-14.49824047088623","-14.49824047088623"
"182","-14.316039085388184","-14.316039085388184","-14.316039085388184"
"183","-14.45720386505127","-14.45720386505127","-14.45720386505127"
"184","-14.418705940246582","-14.418705940246582","-14.418705940246582"
"185","-14.558466911315918","-14.558466911315918","-14.558466911315918"
"186","-14.304903030395508","-14.304903030395508","-14.304903030395508"
"187","-14.520771980285645","-14.520771980285645","-14.520771980285645"
"188","-14.156132698059082","-14.156132698059082","-14.156132698059082"
"189","-14.410833358764648","-14.410833358764648","-14.410833358764648"
"190","-14.158327102661133","-14.158327102661133","-14.158327102661133"
"191","-14.022605895996094","-14.022605895996094","-14.022605895996094"
"192","-14.548072814941406","-14.548072814941406","-14.548072814941406"
"193","-14.27899169921875","-14.27899169921875","-14.27899169921875"
"194","-14.583578109741211","-14.583578109741211","-14.583578109741211"
"195","-14.285589218139648","-14.285589218139648","-14.285589218139648"
"196","-14.323968887329102","-14.323968887329102","-14.323968887329102"
"197","-14.337125778198242","-14.337125778198242","-14.337125778198242"
"198","-14.781517028808594","-14.781517028808594","-14.781517028808594"
"199","-14.559159278869629","-14.559159278869629","-14.559159278869629"